first_number,second_number,date,how_many
228,130576,2010,3
228,131915,2008,2
228,137236,2006,9
228,138142,2008,4
228,138224,2011,2
228,140801,2008,3
228,140802,2011,3
228,141780,2012,2
228,150894,2013,2
228,152094,2012,2
228,152874,2008,2
228,152883,2008,3
228,152937,2008,8
228,156048,2018,2
228,156419,2008,2
228,157151,2015,2
228,161153,2008,3
228,161319,2019,2
228,161364,2008,2
228,166865,2008,2
228,174042,2008,4
228,175753,2008,2
228,183392,2008,3
228,188236,2008,2
228,195277,2005,2
228,196993,2008,5
228,204194,2015,2
228,204873,2012,2
228,232889,2011,2
228,237005,2008,2
228,243883,2010,2
228,255835,2010,2
228,277877,2005,2
228,280076,2008,2
228,283823,2008,2
228,285338,2013,3
228,285356,2012,2
228,297203,2008,6
228,326879,2007,3
228,383943,2008,2
228,389008,2012,2
228,389032,2012,2
228,389972,2007,3
228,403181,2008,2
228,426878,2006,4
228,433389,2013,2
228,433912,2008,4
228,455341,2010,3
228,471077,2012,2
228,477729,2013,2
228,480227,2015,2
228,492556,2010,3
228,495490,2009,4
228,509903,2008,2
228,556769,2008,2
228,572603,2011,2
228,629604,2011,2
228,629836,2008,2
228,631432,2008,4
228,697324,2011,2
228,706636,2008,3
228,784507,2008,2
228,800793,2012,2
228,857439,2010,2
228,905468,2008,3
228,921541,2008,2
228,948371,2012,2
228,949900,2008,2
228,1009341,2009,4
228,1078556,2013,4
228,1101585,2008,2
228,1103258,2019,2
228,1116799,2008,2
228,1516737,2013,2
228,1570944,2014,2
228,1676494,2014,2
235,360,2008,2
235,121459,2007,2
241,261,2007,5
241,292,2017,2
241,377,2008,3
241,451,2007,3
241,5761,2007,3
241,6961,2007,3
241,7883,2009,2
241,8085,2007,3
241,11953,2011,2
241,41202,2011,2
241,42489,2007,3
241,44613,2007,3
241,49841,2007,5
241,49842,2007,2
241,53229,2007,2
241,54765,2009,2
241,60783,2009,2
241,68279,2007,4
241,69231,2017,2
241,74153,2007,2
241,86250,2007,2
241,89204,2009,2
241,89403,2007,2
241,90545,2009,3
241,95954,2007,2
241,99464,2017,2
241,108472,2009,2
241,108604,2007,3
241,109152,2007,2
241,119948,2007,2
241,121540,2009,3
241,129360,2007,4
241,130292,2007,2
241,130293,2008,2
241,140801,2011,2
241,140802,2007,4
241,147050,2009,2
241,152087,2007,3
241,152937,2008,4
241,174047,2009,2
241,230673,2007,2
241,254164,2009,4
241,270871,2009,2
241,317618,2009,2
241,317619,2009,2
241,318562,2008,3
241,333553,2018,2
241,377413,2009,2
241,389972,2007,2
241,392222,2009,2
241,423090,2007,2
241,457975,2011,2
241,595023,2011,3
241,624489,2011,2
241,629604,2009,2
241,629836,2007,3
241,643914,2008,2
241,682777,2013,3
241,706636,2008,2
241,832982,2007,3
241,873014,2009,2
241,930116,2008,2
241,947273,2011,2
241,1113410,2018,2
241,1223587,2011,2
241,1911546,2018,2
241,1981401,2017,2
241,2002729,2018,2
245,426,2006,2
245,510,2006,3
245,5067,2008,2
245,5088,2009,3
245,6933,2006,4
245,7896,2007,2
245,8962,2006,2
245,10436,2006,2
245,48492,2006,2
245,89403,2006,2
245,108795,2006,2
245,108797,2007,2
245,115982,2006,2
245,129345,2009,2
245,129976,2006,2
245,138716,2006,2
245,139160,2009,2
245,140801,2008,2
245,142551,2006,2
245,143223,2006,2
245,147054,2009,2
245,152883,2008,2
245,157158,2009,2
245,204193,2008,3
245,229623,2006,2
245,232888,2006,2
245,241277,2006,2
245,362818,2006,2
245,397896,2009,2
245,585826,2009,2
245,610806,2006,2
245,645907,2008,3
245,706611,2009,2
245,739768,2008,2
245,956083,2009,2
245,960050,2008,3
245,1144325,2008,2
245,1542801,2008,2
252,42489,2005,2
252,61316,2010,2
252,87123,2005,2
252,142553,2005,2
252,152937,2005,3
252,152939,2006,2
252,188236,2005,2
252,205368,2016,2
252,255893,2010,2
252,318562,2010,2
252,433912,2005,3
252,493495,2009,2
252,557519,2006,2
252,595229,2006,2
252,615737,2009,2
252,923141,2009,2
252,953138,2009,2
252,1639672,2016,2
253,4612,2010,2
253,8594,2010,2
253,50380,2010,2
253,209992,2010,2
253,357831,2010,2
253,389032,2010,2
253,592863,2010,2
253,821499,2010,2
253,897010,2010,2
253,1111085,2010,2
253,1223711,2010,2
253,1537880,2010,2
253,1537886,2010,2
254,10575,2005,2
259,3449,2007,2
259,6062,2007,2
259,7896,2006,2
259,10116,2009,2
259,48277,2006,3
259,59414,2006,2
259,69499,2018,2
259,74154,2009,2
259,86566,2009,2
259,89403,2006,3
259,115982,2007,2
259,130690,2006,2
259,131935,2006,3
259,139201,2018,2
259,140801,2015,2
259,161319,2007,2
259,167593,2018,2
259,173009,2007,2
259,174043,2007,3
259,183392,2010,2
259,204196,2007,3
259,209981,2009,3
259,209992,2016,3
259,241105,2007,3
259,243555,2017,2
259,282401,2018,2
259,297149,2018,2
259,297203,2007,4
259,317652,2007,2
259,326879,2007,4
259,342568,2018,2
259,374861,2007,4
259,411164,2010,2
259,445362,2007,3
259,464124,2006,3
259,464409,2010,2
259,493495,2010,2
259,509902,2006,2
259,509903,2010,2
259,522231,2018,2
259,557519,2007,3
259,574205,2007,2
259,595229,2006,2
259,603708,2017,2
259,611316,2018,2
259,626567,2007,2
259,629730,2007,2
259,643910,2006,2
259,726169,2006,2
259,813442,2019,2
259,814209,2006,2
259,824874,2006,2
259,844474,2018,2
259,847675,2018,2
259,855202,2007,2
259,900512,2017,2
259,949900,2006,2
259,1078556,2016,2
259,1101585,2007,2
259,1138697,2007,3
259,1189419,2016,3
259,1241004,2019,2
259,1259099,2018,2
259,1512760,2017,2
259,1516737,2016,2
259,1592394,2016,4
259,1618735,2018,2
259,1773420,2018,2
259,1978489,2007,3
259,2051936,2018,3
259,2110168,2018,2
259,2247190,2018,2
259,2255785,2018,2
259,2305735,2017,2
259,2520602,2018,2
259,2594003,2018,2
261,271,2010,2
261,347,2008,2
261,377,2009,2
261,422,2007,2
261,507,2006,2
261,3011,2006,2
261,3486,2009,3
261,4489,2014,3
261,5067,2007,3
261,6887,2006,4
261,6961,2008,4
261,6985,2007,3
261,7043,2008,5
261,7883,2008,4
261,8085,2009,2
261,8856,2008,2
261,8857,2006,3
261,8925,2015,2
261,10398,2006,2
261,40239,2007,4
261,42489,2007,4
261,44611,2009,2
261,44613,2009,3
261,44627,2008,2
261,48277,2006,2
261,49841,2007,5
261,51375,2007,3
261,52565,2014,2
261,54765,2009,3
261,56091,2006,3
261,59251,2008,2
261,59272,2007,2
261,60783,2009,3
261,63720,2008,3
261,68279,2007,6
261,68834,2006,3
261,71675,2007,2
261,74179,2011,2
261,90545,2009,2
261,99464,2008,2
261,108472,2009,2
261,108604,2007,4
261,117975,2016,3
261,119948,2007,2
261,124299,2006,4
261,128556,2011,2
261,129248,2015,2
261,129360,2007,3
261,129977,2008,2
261,130292,2015,2
261,140801,2008,2
261,140802,2007,3
261,141783,2011,3
261,147050,2009,2
261,152874,2008,2
261,157333,2008,2
261,161321,2008,2
261,175753,2005,2
261,188236,2008,2
261,243555,2007,2
261,254164,2009,3
261,270871,2009,2
261,304634,2007,4
261,317618,2009,2
261,317619,2009,2
261,318562,2008,2
261,326879,2008,2
261,377413,2009,2
261,379936,2005,3
261,383943,2008,2
261,403176,2006,2
261,403180,2008,2
261,423090,2006,5
261,471088,2006,2
261,509902,2006,2
261,513488,2008,2
261,564942,2007,5
261,614188,2006,2
261,624489,2008,3
261,629604,2009,2
261,629836,2007,6
261,706151,2018,2
261,706636,2008,2
261,778753,2018,2
261,873014,2009,2
261,930116,2011,2
261,1138697,2008,2
261,1223717,2015,2
261,1551572,2015,2
261,1993954,2015,3
261,2052781,2018,2
262,4289,2006,2
262,7463,2006,2
262,140801,2006,2
270,399,2008,4
270,8732,2007,2
270,8875,2006,3
270,10101,2008,2
270,40239,2009,3
270,44006,2012,2
270,44333,2009,3
270,60789,2019,2
270,68228,2008,2
270,79987,2019,2
270,99464,2012,2
270,100794,2019,2
270,121539,2008,3
270,129838,2007,2
270,130576,2009,3
270,131915,2008,2
270,138142,2007,2
270,142643,2008,2
270,148066,2009,2
270,152883,2008,2
270,152973,2019,2
270,166865,2007,2
270,175753,2008,2
270,183392,2008,2
270,196992,2012,3
270,204196,2008,3
270,204873,2006,2
270,205368,2009,2
270,209981,2009,4
270,209992,2016,2
270,237005,2007,2
270,243880,2019,2
270,248856,2019,2
270,280076,2006,2
270,283823,2008,2
270,383943,2008,3
270,423089,2008,2
270,464409,2006,4
270,481708,2009,2
270,513489,2019,2
270,539655,2006,3
270,547249,2006,2
270,604231,2009,2
270,614188,2007,2
270,614274,2008,4
270,615503,2006,2
270,626567,2011,2
270,643914,2006,2
270,706636,2007,2
270,735244,2007,2
270,797932,2007,2
270,857635,2008,2
270,875162,2012,2
270,899631,2019,2
270,921541,2008,2
270,921542,2008,2
270,948371,2011,2
270,1009341,2018,2
270,1116799,2008,2
270,1568244,2010,2
270,1584736,2012,3
270,1636433,2019,2
270,1754828,2019,2
270,1795247,2018,3
270,1841641,2019,2
270,1872897,2019,2
270,1911546,2014,2
270,2059528,2019,2
270,2137117,2019,2
270,2200423,2019,2
270,2436678,2019,2
270,2651111,2019,2
271,457,2009,3
271,7586,2008,2
271,7587,2007,2
271,10101,2010,2
271,44002,2011,3
271,49066,2010,2
271,69231,2018,2
271,74712,2007,2
271,86566,2008,3
271,89403,2007,4
271,117975,2018,2
271,130293,2012,3
271,143226,2009,2
271,161359,2007,2
271,166865,2007,2
271,175753,2010,2
271,209981,2008,4
271,237005,2014,2
271,243883,2010,2
271,285354,2008,2
271,383943,2007,2
271,461789,2011,2
271,464409,2005,2
271,527420,2010,2
271,614274,2008,3
271,706636,2014,2
271,820248,2008,3
271,887791,2014,2
271,897010,2010,2
271,935697,2008,2
271,947273,2018,2
271,1103781,2011,2
271,2051561,2018,2
271,2051936,2017,2
272,360,2010,3
272,3008,2005,3
272,4612,2010,2
272,10754,2015,2
272,11896,2015,2
272,50380,2010,4
272,65933,2009,2
272,66693,2010,5
272,89403,2010,3
272,91316,2009,3
272,129371,2016,2
272,129976,2015,2
272,157418,2013,2
272,183392,2012,2
272,188236,2005,2
272,209992,2010,2
272,357831,2010,2
272,389032,2010,3
272,411164,2013,2
272,556769,2010,2
272,592863,2010,2
272,614199,2009,2
272,614274,2010,3
272,644200,2007,2
272,821499,2010,2
272,887791,2015,2
272,897010,2010,2
272,1103781,2013,3
272,1111085,2010,2
272,1223711,2010,2
272,1537880,2010,2
272,1537886,2010,2
272,1636196,2012,2
272,1658621,2015,2
273,444,2009,2
273,3448,2009,2
273,6625,2009,2
273,7586,2008,2
273,7896,2010,2
273,8557,2009,2
273,8747,2012,2
273,8781,2005,3
273,8831,2009,2
273,8952,2009,2
273,9654,2007,3
273,10101,2005,2
273,10104,2009,2
273,10298,2010,3
273,41702,2007,3
273,44002,2012,3
273,47139,2009,2
273,60012,2009,2
273,63268,2009,2
273,64251,2007,2
273,65933,2009,3
273,66929,2009,2
273,68036,2009,2
273,71675,2009,2
273,84400,2009,2
273,84604,2009,2
273,88900,2009,2
273,90545,2005,2
273,101892,2005,2
273,108796,2009,2
273,118887,2009,2
273,121539,2010,2
273,124299,2005,2
273,131857,2005,2
273,148069,2008,3
273,152093,2009,2
273,152973,2009,2
273,161344,2005,2
273,170332,2007,3
273,174043,2014,2
273,195279,2007,3
273,196603,2009,2
273,196992,2005,2
273,204193,2009,3
273,204870,2016,2
273,232896,2009,2
273,241105,2005,3
273,243576,2009,2
273,243883,2005,2
273,283159,2009,2
273,295421,2011,2
273,311468,2009,2
273,317623,2005,2
273,317625,2005,3
273,317652,2005,3
273,333902,2009,2
273,337543,2009,2
273,339592,2009,2
273,348171,2009,2
273,383699,2009,2
273,383943,2014,2
273,411164,2010,3
273,449750,2009,2
273,465222,2009,2
273,509903,2007,3
273,513441,2009,2
273,520955,2009,2
273,522231,2009,2
273,556769,2012,2
273,597253,2012,2
273,614274,2009,4
273,615229,2009,2
273,626847,2009,2
273,643910,2009,2
273,644542,2009,2
273,727822,2009,2
273,739769,2011,2
273,800793,2012,2
273,824421,2009,2
273,843472,2009,2
273,857630,2009,2
273,858571,2009,2
273,858787,2009,2
273,921541,2009,2
273,1003039,2009,2
273,1006033,2009,2
273,1009665,2009,2
273,1103781,2012,2
273,1504387,2009,2
273,1602257,2012,2
273,1654630,2009,2
289,7883,2005,2
289,90544,2005,3
289,124299,2009,2
289,131915,2007,2
289,150894,2007,3
289,188236,2005,2
289,195284,2005,5
289,237005,2007,2
289,279612,2009,2
289,317657,2007,2
289,567606,2009,2
289,624489,2009,3
289,967779,2005,3
289,1002012,2013,2
289,1103781,2010,2
291,64032,2008,2
291,93871,2005,2
291,130292,2014,2
291,144102,2005,2
291,195284,2005,3
291,318561,2014,2
291,595023,2009,3
291,705896,2008,4
291,849555,2008,2
292,368,2007,2
292,460,2009,4
292,3008,2005,5
292,3387,2007,2
292,4612,2010,2
292,4732,2006,2
292,8594,2010,2
292,8875,2008,2
292,8920,2010,2
292,8957,2006,2
292,11896,2015,2
292,12680,2007,2
292,50380,2010,3
292,56091,2007,7
292,59260,2006,3
292,65933,2019,2
292,66693,2010,4
292,69231,2017,2
292,69493,2005,2
292,78445,2007,2
292,86566,2009,2
292,99464,2017,3
292,100794,2013,2
292,115984,2007,2
292,124431,2010,3
292,129976,2013,3
292,130292,2011,2
292,131909,2009,3
292,161344,2008,2
292,161359,2006,3
292,163946,2006,2
292,174042,2010,5
292,183388,2007,3
292,205368,2009,2
292,209992,2010,3
292,295421,2007,2
292,357831,2010,2
292,362884,2006,2
292,463491,2011,3
292,464409,2010,3
292,574205,2011,3
292,592863,2010,2
292,614274,2010,5
292,633585,2007,2
292,654517,2009,2
292,706151,2018,2
292,778753,2007,2
292,821499,2010,2
292,857635,2009,2
292,887791,2015,2
292,897010,2010,3
292,1100397,2010,2
292,1111085,2010,2
292,1223711,2010,2
292,1537880,2010,2
292,1537886,2010,2
292,1658621,2015,2
292,1981401,2017,2
299,95954,2007,2
304,11916,2008,2
304,90544,2010,2
304,209981,2012,3
304,602252,2008,3
310,3008,2010,3
310,10100,2005,2
310,50380,2010,2
310,66693,2010,3
310,91316,2019,2
310,95954,2008,4
310,130292,2011,2
310,152883,2011,2
310,152939,2006,2
310,161344,2006,2
310,174047,2009,3
310,188236,2006,2
310,209968,2005,2
310,209991,2011,2
310,241108,2011,4
310,383943,2006,2
310,433912,2006,3
310,614274,2006,3
310,631432,2009,3
310,643910,2009,2
310,654517,2011,2
310,855202,2011,2
310,896196,2011,2
310,953272,2019,2
310,1229757,2011,2
311,7883,2005,2
311,8928,2005,2
311,52604,2013,2
311,68228,2009,2
311,86493,2017,2
311,129360,2005,3
311,129977,2013,2
311,140801,2005,2
311,141783,2005,4
311,146820,2005,2
311,188236,2005,2
311,195305,2013,2
311,196993,2005,3
311,243888,2016,2
311,255849,2018,2
311,399950,2005,2
311,595229,2006,3
311,615503,2006,3
311,624489,2017,2
311,654517,2009,2
311,983516,2007,2
311,1512760,2015,2
311,1661689,2018,2
311,2013081,2011,2
311,2034939,2016,2
334,354,2005,5
334,3011,2006,4
334,7036,2006,2
334,7587,2005,3
334,7883,2006,3
334,8694,2009,3
334,8856,2009,3
334,8934,2005,2
334,10101,2005,2
334,13149,2006,4
334,31462,2005,3
334,44623,2012,2
334,47796,2005,2
334,49065,2006,2
334,52565,2011,2
334,59272,2009,3
334,67419,2005,2
334,73964,2005,2
334,79801,2005,2
334,85544,2005,2
334,95951,2008,2
334,95954,2006,2
334,97474,2005,4
334,129360,2005,3
334,129838,2005,2
334,129977,2005,3
334,130292,2005,3
334,135562,2005,2
334,148067,2005,2
334,152883,2005,2
334,157626,2005,2
334,158560,2005,2
334,158896,2006,2
334,161320,2008,2
334,164931,2005,2
334,209722,2012,2
334,209991,2009,2
334,217953,2005,3
334,223131,2005,2
334,255893,2006,2
334,264354,2005,4
334,273914,2005,2
334,317623,2011,2
334,317624,2012,2
334,379936,2006,3
334,423090,2006,2
334,433385,2005,2
334,464124,2005,3
334,529602,2005,2
334,556769,2006,2
334,557519,2006,2
334,624489,2009,2
334,632666,2008,2
334,800793,2011,2
334,878300,2011,2
334,897010,2009,2
334,947273,2011,2
334,1100397,2009,2
334,1161404,2006,2
334,1532569,2012,2
343,3942,2019,2
343,406590,2006,2
343,775651,2007,2
347,3011,2009,4
347,4890,2013,2
347,6961,2008,2
347,7400,2008,2
347,8689,2008,7
347,8856,2008,2
347,8931,2008,4
347,9652,2013,2
347,10480,2009,2
347,40492,2008,2
347,42489,2011,4
347,44448,2009,3
347,48245,2008,2
347,48280,2008,3
347,50212,2016,2
347,50875,2016,2
347,58019,2013,2
347,74184,2011,4
347,92990,2009,6
347,115982,2011,2
347,136705,2008,2
347,141783,2008,3
347,152874,2016,2
347,152937,2008,6
347,154800,2009,4
347,204194,2009,2
347,255893,2009,2
347,315395,2016,2
347,318562,2011,3
347,381715,2008,2
347,399950,2014,2
347,509860,2008,2
347,840181,2011,3
347,864640,2011,5
347,916152,2008,2
347,1857983,2011,2
347,1953048,2011,2
347,1978489,2017,2
347,2013081,2011,3
349,8724,2006,2
349,10101,2006,2
349,48140,2006,2
349,52978,2006,2
349,57665,2006,2
349,60837,2006,2
349,63565,2006,2
349,73964,2006,2
349,86473,2006,2
349,121540,2005,3
349,131857,2006,3
349,140801,2006,2
349,151657,2006,2
349,170327,2007,2
349,195279,2006,2
349,204195,2007,2
349,207528,2006,2
349,209981,2006,3
349,232885,2007,2
349,232890,2006,2
349,275753,2005,3
349,283823,2016,2
349,291556,2006,2
349,292887,2006,2
349,295421,2006,2
349,399935,2006,2
349,406303,2006,2
349,455332,2006,2
349,464125,2007,2
349,464410,2006,3
349,498553,2006,2
349,509902,2005,3
349,527419,2006,2
349,581939,2006,2
349,650792,2006,2
349,750330,2006,2
349,750331,2006,2
351,7587,2005,2
351,40225,2012,2
351,42586,2005,2
351,157418,2007,2
351,253527,2005,2
352,391,2008,2
352,11299,2006,5
352,40225,2012,2
352,44543,2008,2
352,63031,2007,2
352,74154,2008,3
352,86493,2006,2
352,95845,2007,2
352,109203,2006,2
352,129972,2007,3
352,131951,2010,2
352,140322,2008,2
352,161350,2008,2
352,161361,2008,2
352,161557,2008,2
352,166425,2008,2
352,174043,2006,2
352,195279,2008,2
352,252866,2008,2
352,285338,2008,2
352,317652,2013,2
352,418309,2008,2
352,455332,2008,2
352,480227,2013,2
352,527419,2008,2
352,581939,2008,2
352,603708,2007,2
352,604744,2009,3
352,629836,2011,2
352,700796,2008,2
352,700797,2008,2
354,360,2011,3
354,453,2007,3
354,493,2006,2
354,507,2006,2
354,5761,2006,3
354,6933,2006,5
354,7036,2006,2
354,7400,2005,3
354,7587,2005,3
354,7897,2006,3
354,8079,2006,2
354,9652,2005,3
