name;link;number
 Mikołaj Roznerski ;/person/Miko%C5%82aj+Roznerski-470324;470324
 Józef Nowak ;/person/J%C3%B3zef+Nowak-40248;40248
 Marek Perepeczko ;/person/Marek+Perepeczko-426;426
 Magdalena Popławska ;/person/Magdalena+Pop%C5%82awska-423090;423090
 Agnieszka Kunikowska ;/person/Agnieszka+Kunikowska-122373;122373
 Mieczysław Voit ;/person/Mieczys%C5%82aw+Voit-8846;8846
 Michalina Łabacz ;/person/Michalina+%C5%81abacz-2167635;2167635
 Grzegorz Damięcki ;/person/Grzegorz+Dami%C4%99cki-44627;44627
 Piotr Machalica ;/person/Piotr+Machalica-475;475
 Ireneusz Czop ;/person/Ireneusz+Czop-124688;124688
 Marta Żmuda Trzebiatowska ;/person/Marta+%C5%BBmuda+Trzebiatowska-464409;464409
 Andrzej Wajda ;/person/Andrzej+Wajda-289;289
 Mieczysław Czechowicz ;/person/Mieczys%C5%82aw+Czechowicz-7047;7047
 Andrzej Mastalerz ;/person/Andrzej+Mastalerz-6887;6887
 Cezary Kosiński ;/person/Cezary+Kosi%C5%84ski-487;487
 Jan Peszek ;/person/Jan+Peszek-502;502
 Tadeusz Fijewski ;/person/Tadeusz+Fijewski-8569;8569
 Rafał Mohr ;/person/Rafa%C5%82+Mohr-6857;6857
 Adam Pawlikowski ;/person/Adam+Pawlikowski-8576;8576
 Stanisław Mikulski ;/person/Stanis%C5%82aw+Mikulski-402;402
 Marian Kociniak ;/person/Marian+Kociniak-41698;41698
 Anna Cieślak ;/person/Anna+Cie%C5%9Blak-175753;175753
 Ewa Kasprzyk ;/person/Ewa+Kasprzyk-6847;6847
 Krzysztof Majchrzak ;/person/Krzysztof+Majchrzak-262;262
 Robert Wabich ;/person/Robert+Wabich-31717;31717
 Weronika Rosati ;/person/Weronika+Rosati-140801;140801
 Mateusz Kościukiewicz ;/person/Mateusz+Ko%C5%9Bciukiewicz-624489;624489
 Dominika Kluźniak ;/person/Dominika+Klu%C5%BAniak-156048;156048
 Zbigniew Konopka ;/person/Zbigniew+Konopka-68031;68031
 Agata Buzek ;/person/Agata+Buzek-3387;3387
 Leszek Teleszyński ;/person/Leszek+Teleszy%C5%84ski-498;498
 Andrzej Gałła ;/person/Andrzej+Ga%C5%82%C5%82a-49067;49067
 Eliza Rycembel ;/person/Eliza+Rycembel-2052781;2052781
 Izabela Dąbrowska ;/person/Izabela+D%C4%85browska-121540;121540
 Władysław Pasikowski ;/person/W%C5%82adys%C5%82aw+Pasikowski-79;79
 Andrzej Blumenfeld ;/person/Andrzej+Blumenfeld-8870;8870
 Michał Koterski ;/person/Micha%C5%82+Koterski-63031;63031
 Edyta Olszówka ;/person/Edyta+Olsz%C3%B3wka-271;271
 Józef Nalberczak ;/person/J%C3%B3zef+Nalberczak-47976;47976
 Marcin Kowalczyk III ;/person/Marcin+Kowalczyk-47595;47595
 Ludwik Benoit ;/person/Ludwik+Benoit-8570;8570
 Julia Kijowska ;/person/Julia+Kijowska-318562;318562
 Stanisław Tym ;/person/Stanis%C5%82aw+Tym-389;389
 Zygmunt Zintel ;/person/Zygmunt+Zintel-8568;8568
 Anna Przybylska ;/person/Anna+Przybylska-2797;2797
 Julia Wieniawa-Narkiewicz ;/person/Julia+Wieniawa+Narkiewicz-2051936;2051936
 Henryk Bąk ;/person/Henryk+B%C4%85k-8976;8976
 Zbigniew Suszyński ;/person/Zbigniew+Suszy%C5%84ski-5987;5987
 Robert Gonera ;/person/Robert+Gonera-6933;6933
 Miłogost Reczek ;/person/Mi%C5%82ogost+Reczek-46996;46996
 Kamilla Baar ;/person/Kamilla+Baar-141780;141780
 Wirgiliusz Gryń ;/person/Wirgiliusz+Gry%C5%84-46214;46214
 Marta Lipińska ;/person/Marta+Lipi%C5%84ska-41702;41702
 Ewa Dałkowska ;/person/Ewa+Da%C5%82kowska-8620;8620
 Jolanta Fraszyńska ;/person/Jolanta+Fraszy%C5%84ska-3362;3362
 Karolina Gruszka ;/person/Karolina+Gruszka-4289;4289
 Iwona Bielska ;/person/Iwona+Bielska-8693;8693
 Wiesław Michnikowski ;/person/Wies%C5%82aw+Michnikowski-428;428
 Mariusz Bonaszewski ;/person/Mariusz+Bonaszewski-61316;61316
 Michał Czernecki ;/person/Micha%C5%82+Czernecki-374861;374861
 Kazimierz Kaczor ;/person/Kazimierz+Kaczor-450;450
 Jacek Koman ;/person/Jacek+Koman-93140;93140
 Jerzy Radziwiłowicz ;/person/Jerzy+Radziwi%C5%82owicz-471;471
 Janusz Wituch ;/person/Janusz+Wituch-50578;50578
 Magdalena Lamparska ;/person/Magdalena+Lamparska-797932;797932
 Anna Mucha ;/person/Anna+Mucha-358;358
 Bohdan Łazuka ;/person/Bohdan+%C5%81azuka-368;368
 Kalina Jędrusik ;/person/Kalina+J%C4%99drusik-7034;7034
 Szymon Bobrowski ;/person/Szymon+Bobrowski-486;486
 Ewa Szykulska ;/person/Ewa+Szykulska-441;441
